ts_code,trade_date,open,high,low,close,volume,amount,factor
159662.SZ,2022-12-01,1.027,1.03,1.013,1.013,4989992.18,510088.878,1.0
159662.SZ,2022-12-02,1.01,1.013,1.003,1.007,402612.58,40568.052,1.0
159662.SZ,2022-12-05,1.011,1.039,1.011,1.038,972341.34,100266.95,1.0
159662.SZ,2022-12-06,1.036,1.052,1.031,1.048,502185.8,52550.456,1.0
159662.SZ,2022-12-07,1.046,1.072,1.038,1.06,464406.68,49094.677,1.0
159662.SZ,2022-12-08,1.064,1.064,1.051,1.057,264392.76,27933.018,1.0
159662.SZ,2022-12-09,1.057,1.065,1.043,1.046,312807.89,32756.826,1.0
159662.SZ,2022-12-12,1.044,1.052,1.038,1.045,206991.27,21616.883,1.0
159662.SZ,2022-12-13,1.042,1.067,1.042,1.055,198557.78,20982.037,1.0
159662.SZ,2022-12-14,1.055,1.067,1.047,1.064,298321.24,31665.236,1.0
159662.SZ,2022-12-15,1.065,1.067,1.047,1.05,129411.92,13626.832,1.0
159662.SZ,2022-12-16,1.049,1.054,1.04,1.054,117313.62,12302.253,1.0
159662.SZ,2022-12-19,1.055,1.055,1.03,1.035,111240.7,11540.529,1.0
159662.SZ,2022-12-20,1.034,1.034,1.016,1.019,212125.25,21750.574,1.0
159662.SZ,2022-12-21,1.021,1.034,1.021,1.025,198746.09,20436.813,1.0
159662.SZ,2022-12-22,1.029,1.039,1.018,1.023,157709.17,16205.748,1.0
159662.SZ,2022-12-23,1.023,1.029,1.014,1.019,108381.13,11065.828,1.0
159662.SZ,2022-12-26,1.019,1.034,1.017,1.021,81917.55,8387.83,1.0
159662.SZ,2022-12-27,1.025,1.04,1.019,1.035,121755.02,12548.083,1.0
159662.SZ,2022-12-28,1.035,1.035,1.017,1.019,141966.01,14523.075,1.0
159662.SZ,2022-12-29,1.018,1.018,1.006,1.007,132374.01,13360.606,1.0
159662.SZ,2022-12-30,1.013,1.021,1.008,1.02,121792.01,12351.757,1.0
159662.SZ,2023-01-03,1.02,1.02,1.01,1.016,117648.4,11935.362,1.0
