ts_code,name,fund_type,invest_type,list_date,benchmark,sector_key
159662.SZ,南方国证交通运输行业ETF,股票型,被动指数型,20221201,国证交通运输行业指数×100%,交通运输
515790.SH,华泰柏瑞中证光伏产业ETF,股票型,被动指数型,20201218,中证光伏产业指数收益率×100%,光伏新能源
512660.SH,国泰中证军工ETF,股票型,被动指数型,20160808,中证军工指数×100%,军工
159827.SZ,银华中证农业主题ETF,股票型,被动指数型,20201218,中证农业主题指数×100%,农业
512880.SH,国泰中证全指证券公司ETF,股票型,被动指数型,20160808,中证全指证券公司指数×100%,券商
510660.SH,华夏上证医药卫生ETF,股票型,被动指数型,20130508,上证医药卫生行业指数×100%,医药
159944.SZ,广发中证全指原材料ETF,股票型,被动指数型,20150706,中证全指原材料指数×100%,原材料
516950.SH,银华中证基建ETF,股票型,被动指数型,20210514,中证基建指数×100%,基建建材
159909.SZ,招商深证电子信息传媒产业(TMT)50ETF,股票型,被动指数型,20110901,深证电子信息传媒产业50指数(深证TMT50P)×100%,大科技TMT
159730.SZ,博时国证龙头家电ETF,股票型,被动指数型,20211224,国证龙头家电指数收益率×95%+银行活期存款利率(税后)×5%,家电家居
159903.SZ,南方深证成份ETF,股票型,被动指数型,20100202,深圳证券交易所成份指数×100%,宽基
510190.SH,华安上证50ETF,股票型,被动指数型,20110110,上证50指数收益率×100%,宽基
159915.SZ,易方达创业板ETF,股票型,被动指数型,20111209,创业板指数P×100%,宽基
159919.SZ,嘉实沪深300ETF,股票型,被动指数型,20120528,沪深300指数×100%,宽基
159922.SZ,嘉实中证500ETF,股票型,被动指数型,20130315,中证小盘500指数×100%,宽基
510710.SH,博时上证50ETF,股票型,被动指数型,20150615,上海证券交易所50成份指数×100%,宽基
510560.SH,国寿安保中证500ETF,股票型,被动指数型,20150703,中证500指数×100%,宽基
159948.SZ,南方创业板ETF,股票型,被动指数型,20160531,创业板指数×100%,宽基
159949.SZ,华安创业板50ETF,股票型,被动指数型,20160722,创业板50指数×100%,宽基
512100.SH,南方中证1000ETF,股票型,被动指数型,20161104,中证1000指数×100%,宽基
515810.SH,易方达中证800ETF,股票型,被动指数型,20191025,中证800指数收益率×100%,宽基
588000.SH,华夏上证科创板50成份ETF,股票型,被动指数型,20201116,上证科创板50成份指数收益率×100%,宽基
159836.SZ,天弘创业板300ETF,股票型,被动指数型,20210525,创业板300指数收益率×100%,宽基
159780.SZ,南方中证科创创业50ETF,股票型,被动指数型,20210705,中证科创创业50指数收益率×100%,宽基
159541.SZ,万家创业板综合ETF,股票型,被动指数型,20231031,创业板综合指数收益率×100%,宽基
159572.SZ,易方达创业板200ETF,股票型,被动指数型,20231225,创业板200指数收益率×100%,宽基
159338.SZ,国泰中证A500ETF,股票型,被动指数型,20241015,中证A500指数收益率×100%,宽基
512200.SH,南方中证全指房地产ETF,股票型,被动指数型,20170925,中证全指房地产指数×100%,房地产
515700.SH,平安中证新能源汽车产业ETF,股票型,被动指数型,20200210,中证新能源汽车产业指数收益率×100%,新能源车
159886.SZ,富国中证细分机械设备产业主题ETF,股票型,被动指数型,20210428,中证细分机械设备产业主题指数收益率×100%,机械
515250.SH,富国中证智能汽车主题ETF,股票型,被动指数型,20210108,中证智能汽车主题指数×100%,汽车
510150.SH,招商上证消费80ETF,股票型,被动指数型,20110225,上证消费80指数×100%,消费
512580.SH,广发中证环保产业ETF,股票型,被动指数型,20170228,中证环保产业指数×100%,环保
159930.SZ,汇添富中证能源ETF,股票型,被动指数型,20130916,中证能源指数×100%,能源
510650.SH,华夏上证金融地产ETF,股票型,被动指数型,20130508,上证金融地产行业指数×100%,金融地产
512700.SH,南方中证银行ETF,股票型,被动指数型,20170726,中证银行指数×100%,银行
