调仓日,月均仓位,持仓与权重
2021-01-04,100%,广发中证环保产业ETF:12.0%; 招商上证消费80ETF:29.6%; 国泰中证全指证券公司ETF:17.5%; 南方中证申万有色金属ETF:11.5%; 华夏上证医药卫生ETF:29.4%
2021-02-01,100%,华泰柏瑞中证光伏产业ETF:15.2%; 国泰中证军工ETF:15.3%; 广发中证全指原材料ETF:27.4%; 招商深证电子信息传媒产业(TMT)50ETF:20.9%; 易方达创业板ETF:21.3%
2021-03-01,57%,南方中证银行ETF:23.5%; 银华中证农业主题ETF:20.4%; 国泰中证全指证券公司ETF:24.2%; 华泰柏瑞中证光伏产业ETF:15.7%; 广发中证环保产业ETF:16.1%
2021-04-01,67%,平安中证新能源汽车产业ETF:17.3%; 华泰柏瑞中证光伏产业ETF:18.9%; 南方中证申万有色金属ETF:18.0%; 国泰中证军工ETF:18.9%; 华夏上证科创板50成份ETF:26.9%
2021-05-06,94%,富国中证细分机械设备产业主题ETF:19.3%; 国泰中证军工ETF:21.3%; 国泰中证煤炭ETF:13.8%; 南方中证申万有色金属ETF:17.3%; 国联安中证全指半导体产品与设备ETF:28.3%
2021-06-01,100%,平安中证新能源汽车产业ETF:15.1%; 银华中证基建ETF:20.6%; 华夏上证医药卫生ETF:23.2%; 广发中证环保产业ETF:20.6%; 天弘创业板300ETF:20.6%
2021-07-01,100%,国联安中证全指半导体产品与设备ETF:15.6%; 平安中证新能源汽车产业ETF:16.6%; 华泰柏瑞中证光伏产业ETF:19.4%; 广发中证环保产业ETF:23.3%; 华夏上证科创板50成份ETF:25.1%
2021-08-02,100%,富国中证细分机械设备产业主题ETF:19.6%; 南方中证申万有色金属ETF:17.3%; 国泰中证煤炭ETF:24.0%; 广发中证全指原材料ETF:24.8%; 华泰柏瑞中证光伏产业ETF:14.3%
2021-09-01,92%,南方中证申万有色金属ETF:17.7%; 国泰中证军工ETF:21.1%; 国泰中证煤炭ETF:18.1%; 汇添富中证能源ETF:22.1%; 广发中证全指原材料ETF:21.0%
2021-10-08,81%,华泰柏瑞中证光伏产业ETF:14.9%; 国联安中证全指半导体产品与设备ETF:18.8%; 广发中证环保产业ETF:20.9%; 平安中证新能源汽车产业ETF:16.5%; 华夏上证科创板50成份ETF:28.9%
2021-11-01,95%,平安中证新能源汽车产业ETF:20.9%; 国泰中证煤炭ETF:11.0%; 广发中证环保产业ETF:23.9%; 华泰柏瑞中证光伏产业ETF:21.5%; 南方中证申万有色金属ETF:22.7%
2021-12-01,83%,国联安中证全指半导体产品与设备ETF:17.2%; 富国中证智能汽车主题ETF:21.0%; 国泰中证军工ETF:14.8%; 南方中证申万有色金属ETF:17.8%; 华安创业板50ETF:29.2%
2022-01-04,45%,华泰柏瑞中证光伏产业ETF:14.8%; 银华中证基建ETF:31.9%; 国泰中证煤炭ETF:14.6%; 南方中证申万有色金属ETF:20.0%; 汇添富中证能源ETF:18.8%
2022-02-07,28%,华泰柏瑞中证光伏产业ETF:17.0%; 平安中证新能源汽车产业ETF:17.7%; 国泰中证军工ETF:22.1%; 国联安中证全指半导体产品与设备ETF:21.9%; 富国中证细分机械设备产业主题ETF:21.3%
2022-03-01,11%,富国中证细分机械设备产业主题ETF:19.3%; 华泰柏瑞中证光伏产业ETF:17.8%; 广发中证环保产业ETF:22.3%; 南方中证申万有色金属ETF:21.7%; 平安中证新能源汽车产业ETF:18.9%
2022-04-01,0%,富国中证细分机械设备产业主题ETF:19.8%; 广发中证环保产业ETF:19.7%; 平安中证新能源汽车产业ETF:15.1%; 华夏上证金融地产ETF:21.9%; 南方中证银行ETF:23.4%
2022-05-05,14%,广发中证全指电力公用事业ETF:26.9%; 广发中证全指信息技术ETF:18.7%; 平安中证新能源汽车产业ETF:14.6%; 广发中证全指原材料ETF:18.9%; 南方中证科创创业50ETF:20.8%
2022-06-01,38%,富国中证智能汽车主题ETF:18.9%; 华泰柏瑞中证光伏产业ETF:17.0%; 平安中证新能源汽车产业ETF:17.3%; 汇添富中证能源ETF:22.0%; 广发中证全指电力公用事业ETF:24.8%
2022-07-01,52%,华泰柏瑞中证光伏产业ETF:17.5%; 国泰中证军工ETF:18.8%; 广发中证环保产业ETF:21.9%; 富国中证细分机械设备产业主题ETF:20.2%; 易方达创业板ETF:21.6%
2022-08-01,63%,国泰中证煤炭ETF:12.0%; 银华中证基建ETF:24.7%; 博时国证龙头家电ETF:33.3%; 南方中证全指房地产ETF:16.6%; 汇添富中证能源ETF:13.4%
2022-09-01,62%,国联安中证全指半导体产品与设备ETF:15.1%; 汇添富中证能源ETF:17.1%; 广发中证全指电力公用事业ETF:23.4%; 富国中证智能汽车主题ETF:21.3%; 国泰中证全指证券公司ETF:23.0%
2022-10-10,38%,华泰柏瑞中证光伏产业ETF:14.6%; 广发中证全指电力公用事业ETF:22.5%; 富国中证智能汽车主题ETF:17.1%; 国泰中证军工ETF:20.6%; 南方中证1000ETF:25.2%
2022-11-01,50%,华泰柏瑞中证光伏产业ETF:17.7%; 华夏上证医药卫生ETF:17.2%; 国泰中证煤炭ETF:28.4%; 平安中证新能源汽车产业ETF:17.0%; 富国中证细分机械设备产业主题ETF:19.6%
2022-12-01,25%,国泰中证全指证券公司ETF:22.2%; 南方中证全指房地产ETF:11.6%; 南方中证银行ETF:24.5%; 银华中证基建ETF:24.4%; 华夏上证金融地产ETF:17.3%
