rank,ts_code,行业席,名称,相对强度60日,相对强度分位,盈利预期增速中位数,盈利预期分位,估值分位,估值分位分位,景气度得分(可维度均值),盈利预期样本股数
1,159827.SZ,农业,银华中证农业主题ETF,0.1987,0.947,0.2899,0.737,,,0.842,7
2,512200.SH,房地产,南方中证全指房地产ETF,0.0415,0.421,0.3417,0.895,,,0.658,8
3,512660.SH,军工,国泰中证军工ETF,-0.008,0.316,0.3043,0.842,,,0.579,9
4,510660.SH,医药,华夏上证医药卫生ETF,0.1733,0.737,0.1862,0.421,,,0.579,9
5,510150.SH,消费,招商上证消费80ETF,0.1375,0.684,0.1709,0.368,,,0.526,10
6,159909.SZ,大科技TMT,招商深证电子信息传媒产业(TMT)50ETF,-0.1044,0.105,0.5741,0.947,,,0.526,9
7,515250.SH,汽车,富国中证智能汽车主题ETF,-0.0811,0.211,0.3007,0.789,,,0.5,10
8,159662.SZ,交通运输,南方国证交通运输行业ETF,0.1352,0.632,0.1348,0.316,,,0.474,9
9,159930.SZ,能源,汇添富中证能源ETF,0.1795,0.789,0.0687,0.158,,,0.474,10
10,510650.SH,金融地产,华夏上证金融地产ETF,0.1926,0.842,0.058,0.053,,,0.447,10
11,512700.SH,银行,南方中证银行ETF,0.198,0.895,0.0458,0.0,,,0.447,10
12,159944.SZ,原材料,广发中证全指原材料ETF,0.0022,0.368,0.2017,0.474,,,0.421,10
13,512580.SH,环保,广发中证环保产业ETF,-0.081,0.263,0.2459,0.526,,,0.395,9
14,512880.SH,券商,国泰中证全指证券公司ETF,0.0949,0.579,0.0882,0.211,,,0.395,10
15,159730.SZ,家电家居,博时国证龙头家电ETF,0.0843,0.526,0.1279,0.263,,,0.395,10
16,159886.SZ,机械,富国中证细分机械设备产业主题ETF,-0.0942,0.158,0.2639,0.579,,,0.368,9
17,515790.SH,光伏新能源,华泰柏瑞中证光伏产业ETF,-0.1329,0.053,0.2745,0.684,,,0.368,7
18,515700.SH,新能源车,平安中证新能源汽车产业ETF,-0.1369,0.0,0.2668,0.632,,,0.316,10
19,516950.SH,基建建材,银华中证基建ETF,0.0534,0.474,0.0672,0.105,,,0.289,10
